id,kingdom,phylum,class,order,family,genus,scientific_name,taxonomic_authority,infra_rank,infra_name,category,common_name
34295,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,METROSIDEROS,METROSIDEROS BARTLETTII,J.W.DAWSON,NULL,NULL,CR,BARTLETT'S RATA
34296,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,OLEARIA,OLEARIA HECTORI,HOOK.F.,NULL,NULL,EN,DECIDUOUS TREE DAISY
34297,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,OLEARIA,OLEARIA POLITA,H.D.WILSON AND GARN.-JONES,NULL,NULL,EN,NULL
34298,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,BRACHYGLOTTIS,BRACHYGLOTTIS HUNTII,(F.MUELL.) B.NORD.,NULL,NULL,VU,CHATHAM ISLAND CHRISTMAS TREE
34299,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,ALECTRYON,ALECTRYON EXCELSUS VAR. GRANDIS,(CHEESEMAN) P.J.DE LANGE AND E.K.CAMERON,VAR.,GRANDIS,LR/LC,THREE KINGS TITOKI
34300,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,MERYTA,MERYTA SINCLAIRII,(HOOK.F.) SEEM.,NULL,NULL,VU,NULL
34301,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,OLEARIA,OLEARIA CHATHAMICA,KIRK,NULL,NULL,LR/NT,NULL
34302,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,PLAGIANTHUS,PLAGIANTHUS REGIUS VAR. CHATHAMICUS,(COCKAYNE) ?,VAR.,CHATHAMICUS,LR/NT,NULL
34303,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,RHAMNACEAE,POMADERRIS,POMADERRIS HAMILTONII,L.B.MOORE,NULL,NULL,LR/NT,PALE-FLOWERED KUMARAHOU
34304,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,OLEARIA,OLEARIA ANGULATA,KIRK,NULL,NULL,DD,NULL
34305,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,OLEARIA,OLEARIA FRAGRANTISSIMA,PETRIE,NULL,NULL,LR/NT,FRAGRANT TREE DAISY
34306,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,ENGLERODENDRON,ENGLERODENDRON LEBRUNII,(J.LÉONARD) ESTRELLA AND OJEDA,NULL,NULL,VU,NULL
34307,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,VEPRIS,VEPRIS MANDANGOANA,LISOWSKI,NULL,NULL,CR,NULL
